taxon	lineage
OR785139|homo_sapiens|philippines|2023-10-01	C
MF773564|homo_sapiens|philippines|2016-01-01	C
MT591106|homo_sapiens|indonesia|2018-05-01	C
MT591105|homo_sapiens|indonesia|2018-03-01	C
MT591104|homo_sapiens|indonesia|2017-01-01	C
MT591089|homo_sapiens|indonesia|2016-01-01	C
MT591088|homo_sapiens|indonesia|2016-01-01	C
MT591091|homo_sapiens|indonesia|2017-03-01	C
MT591090|homo_sapiens|indonesia|2017-02-01	C
MT591087|homo_sapiens|indonesia|2016-01-01	C
MT591086|homo_sapiens|indonesia|2016-01-01	C
OK655884|homo_sapiens|indonesia|2016-11-21	C
OK655883|homo_sapiens|indonesia|2016-11-24	C
MT591107|homo_sapiens|indonesia|2018-07-01	C
PP554682|homo_sapiens|indonesia|2024-01-20	C
PP798381|homo_sapiens|china|2024-01-22	C
PV805110|homo_sapiens|china|2025-05-08	C
OK316996|homo_sapiens|china|2019-10-29	C
OK316995|homo_sapiens|china|2019-10-29	C
OK316989|homo_sapiens|china|2019-11-11	C
OK316990|homo_sapiens|china|2019-11-11	C
OK316991|homo_sapiens|china|2019-11-11	C
OK316992|homo_sapiens|china|2019-11-11	C
PX929694|homo_sapiens|china|2019-07-07	C
OK316993|homo_sapiens|china|2019-10-29	C
OK316994|homo_sapiens|china|2019-10-29	C
PX929693|homo_sapiens|china|2019-07-07	C
KX496989|homo_sapiens|colombia|2016-02-09	C.1
KY703917|homo_sapiens|nicaragua|2016-01-08	C.1
LC259092|homo_sapiens|cuba|2016-02-28	C.1
OR631905|homo_sapiens|argentina|2016-03-09	C.1
OR631904|homo_sapiens|argentina|2016-03-12	C.1
OR631903|homo_sapiens|argentina|2016-03-14	C.1
OR631902|homo_sapiens|argentina|2016-02-06	C.1
OR488125|aedes_aegypti|guadeloupe|2019-11-01	C.1
OR488124|aedes_aegypti|guadeloupe|2019-11-01	C.1
OR488123|aedes_aegypti|guadeloupe|2019-11-01	C.1
MT038398|homo_sapiens|paraguay|2016-03-21	C.1.1
MT038397|homo_sapiens|paraguay|2016-01-21	C.1.1
MT038394|homo_sapiens|paraguay|2016-02-19	C.1.1
MT038395|homo_sapiens|paraguay|2016-02-16	C.1.1
MT038396|homo_sapiens|paraguay|2016-02-22	C.1.1
MT038393|homo_sapiens|paraguay|2016-01-20	C.1.1
PP862724||spain|2016-03-28	D
OR631914|homo_sapiens|argentina|2023-01-22	D
PQ673601|aedes_aegypti|nicaragua|2021-01-01	D
PX657144|homo_sapiens|thailand|2023-04-20	D
PX651953|aedes_albopictus|nicaragua|2018-01-01	D
MK473640|homo_sapiens|india|2016-10-18	E
MK473629|homo_sapiens|india|2016-10-18	E
MK473639|homo_sapiens|india|2016-10-23	E
MK473624|homo_sapiens|india|2016-10-23	E
MF503628|homo_sapiens|hong_kong|2016-08-26	E
MK473636|homo_sapiens|india|2016-09-20	E
MK473631|homo_sapiens|india|2016-09-11	E
KY057363|homo_sapiens|india|2016-08-28	E
MK473622|homo_sapiens|india|2016-09-13	E
MK473635|homo_sapiens|india|2016-09-02	E
MK473621|homo_sapiens|india|2016-09-02	E
MK473632|homo_sapiens|india|2016-09-17	E
MH124583|homo_sapiens|india|2016-01-01	E
MK473625|homo_sapiens|india|2016-08-26	E
MH124582|homo_sapiens|india|2016-01-01	E
MH124580|homo_sapiens|india|2016-01-01	E
MF774614|homo_sapiens|pakistan|2016-01-01	E
MF774613|homo_sapiens|pakistan|2016-01-01	E
MF774619|homo_sapiens|pakistan|2016-01-01	E
MF774618|homo_sapiens|pakistan|2016-01-01	E
MF774617|homo_sapiens|pakistan|2016-01-01	E
MF774616|homo_sapiens|pakistan|2016-01-01	E
MF774615|homo_sapiens|pakistan|2016-01-01	E
MF740874|homo_sapiens|pakistan|2017-01-01	E
MH349097|homo_sapiens|china|2017-04-30	E
MK286899|homo_sapiens|india|2017-01-01	E
MK370032|homo_sapiens|india|2016-01-01	E
KY751908|homo_sapiens|australia|2016-01-01	E
MK473634|homo_sapiens|india|2016-01-01	E
MK473633|homo_sapiens|india|2016-10-19	E
MK473630|homo_sapiens|india|2016-01-01	E
MH124581|homo_sapiens|india|2016-01-01	E
MK473638|homo_sapiens|india|2016-09-20	E
MK473637|homo_sapiens|india|2016-09-20	E
MK473623|homo_sapiens|india|2016-09-20	E
OR626603|homo_sapiens|saudi_arabia|2021-01-01	E
MF499120|homo_sapiens|hong_kong|2016-09-15	E
MK286898|homo_sapiens|india|2018-01-01	E
MK286897|homo_sapiens|india|2018-01-01	E
MK286896|homo_sapiens|india|2017-01-01	E
MK286894|homo_sapiens|india|2017-01-01	E
MK286893|homo_sapiens|india|2017-01-01	E
MG137428|homo_sapiens|india|2016-06-29	E
MW321606|homo_sapiens|india|2016-01-01	E
MK370033|homo_sapiens|india|2016-01-01	E
MW574902|homo_sapiens|india|2016-01-01	E
OQ605438|homo_sapiens|india|2020-01-01	E
OQ605444|homo_sapiens|india|2020-01-01	E
OQ605435|homo_sapiens|india|2020-01-01	E
MW042255|homo_sapiens|india|2019-06-01	E
MK473628|homo_sapiens|india|2016-10-13	E
MK473627|homo_sapiens|india|2016-10-23	E
PV626821|homo_sapiens|sri_lanka|2017-01-01	E
PV626819|homo_sapiens|sri_lanka|2017-01-01	E
MG925665|homo_sapiens|china|2017-12-15	E
PV626818|homo_sapiens|sri_lanka|2017-01-01	E
OP168369|homo_sapiens|myanmar|2019-07-01	E
OP168362|homo_sapiens|myanmar|2019-07-01	E
OP168361|homo_sapiens|myanmar|2019-07-01	E
OP168358|homo_sapiens|myanmar|2019-07-01	E
OP168356|homo_sapiens|myanmar|2019-07-01	E
OP168355|homo_sapiens|myanmar|2019-07-01	E
OP168370|homo_sapiens|myanmar|2019-07-01	E
OP168368|homo_sapiens|myanmar|2019-07-01	E
OP168367|homo_sapiens|myanmar|2019-07-01	E
OP168366|homo_sapiens|myanmar|2019-07-01	E
OP168365|homo_sapiens|myanmar|2019-07-01	E
OP168364|homo_sapiens|myanmar|2019-07-01	E
OP168363|homo_sapiens|myanmar|2019-07-01	E
OP168360|homo_sapiens|myanmar|2019-07-01	E
OP168359|homo_sapiens|myanmar|2019-07-01	E
OP168357|homo_sapiens|myanmar|2019-07-01	E
OP168354|homo_sapiens|myanmar|2019-07-01	E
LC331252|homo_sapiens|japan|2016-01-01	E
MK473626|homo_sapiens|india|2016-10-06	E
MK551553|homo_sapiens|india|2016-10-03	E
MK551552|homo_sapiens|india|2016-09-30	E
MK518340|homo_sapiens|india|2016-09-28	E
MN954552|culicidae|india|2019-01-01	E
PP896920|homo_sapiens|india|2018-01-01	E
PP896919|homo_sapiens|india|2018-01-01	E
OQ605447|homo_sapiens|india|2020-01-01	E
OQ605448|homo_sapiens|india|2020-01-01	E
OQ605446|homo_sapiens|india|2020-01-01	E
OQ605445|homo_sapiens|india|2020-01-01	E
OQ605451|homo_sapiens|india|2020-01-01	E
OQ605450|homo_sapiens|india|2020-01-01	E
OQ605449|homo_sapiens|india|2020-01-01	E
OQ605443|homo_sapiens|india|2020-01-01	E
PP896918|homo_sapiens|india|2024-01-01	E
PP896915|homo_sapiens|india|2024-01-01	E
PP896902|homo_sapiens|india|2024-01-01	E
PP896898|homo_sapiens|india|2024-01-01	E
PP896896|homo_sapiens|india|2024-01-01	E
PP896917|homo_sapiens|india|2024-01-01	E
PP896911|homo_sapiens|india|2024-01-01	E
PP896913|homo_sapiens|india|2024-01-01	E
PP896908|homo_sapiens|india|2024-01-01	E
PP896895|homo_sapiens|india|2024-01-01	E
OR715104|homo_sapiens|india|2023-10-17	E
OK139083|homo_sapiens|india|2019-08-28	E
OR470611|homo_sapiens|india|2021-02-06	E
OR470610|homo_sapiens|india|2021-02-06	E
OR470609|homo_sapiens|india|2021-01-04	E
OQ605442|homo_sapiens|india|2020-01-01	E
OQ605441|homo_sapiens|india|2020-01-01	E
OQ605439|homo_sapiens|india|2020-01-01	E
OQ605437|homo_sapiens|india|2020-01-01	E
OQ605440|homo_sapiens|india|2020-01-01	E
OQ605436|homo_sapiens|india|2020-01-01	E
OQ605454|homo_sapiens|india|2021-01-01	E
OQ605453|homo_sapiens|india|2021-01-01	E
OQ605452|homo_sapiens|india|2021-01-01	E
OQ605434|homo_sapiens|india|2020-01-01	E
PV054365|homo_sapiens|pakistan|2024-05-09	E
PV054364|homo_sapiens|pakistan|2024-05-09	E
PV054363|homo_sapiens|pakistan|2024-08-09	E
PV054362|homo_sapiens|pakistan|2024-06-09	E
PV054361|homo_sapiens|pakistan|2024-08-09	E
PV054360|homo_sapiens|pakistan|2024-06-09	E
ON887079|aedes_aegypti|india|2022-05-28	E
ON887081|aedes_aegypti|india|2022-05-28	E
ON887080|aedes_aegypti|india|2022-05-28	E
ON838557|aedes_aegypti|india|2022-05-28	E
ON838556|aedes_aegypti|india|2022-05-28	E
PP896914|homo_sapiens|india|2024-01-01	E
PP896910|homo_sapiens|india|2024-01-01	E
PP896909|homo_sapiens|india|2024-01-01	E
PP896912|homo_sapiens|india|2024-01-01	E
PP896916|homo_sapiens|india|2024-01-01	E
PP896907|homo_sapiens|india|2024-01-01	E
PP896906|homo_sapiens|india|2024-01-01	E
PP896905|homo_sapiens|india|2024-01-01	E
PP896901|homo_sapiens|india|2024-01-01	E
PP896904|homo_sapiens|india|2024-01-01	E
PP896903|homo_sapiens|india|2024-01-01	E
PP896900|homo_sapiens|india|2024-01-01	E
PP896899|homo_sapiens|india|2024-01-01	E
PP896897|homo_sapiens|india|2024-01-01	E
PP896894|homo_sapiens|india|2024-01-01	E
PP896921|homo_sapiens|india|2018-01-01	E
PV660470|homo_sapiens|sri_lanka|2025-03-04	E.1
PV660469|homo_sapiens|sri_lanka|2025-01-09	E.1
PV660468|homo_sapiens|sri_lanka|2025-04-23	E.1
PV660471|homo_sapiens|sri_lanka|2025-04-06	E.1
PV660467|homo_sapiens|sri_lanka|2025-04-17	E.1
PV660466|homo_sapiens|sri_lanka|2025-04-03	E.1
PX425075|homo_sapiens|china|2025-01-01	E.1
PX701737|homo_sapiens|sri_lanka|2025-06-13	E.1
PX701736|homo_sapiens|sri_lanka|2025-06-13	E.1
MH423800|homo_sapiens|kenya|2016-05-31	E.2
MH423798|homo_sapiens|kenya|2016-05-08	E.2
MH423810|homo_sapiens|kenya|2016-05-31	E.2
MH423806|homo_sapiens|kenya|2016-06-01	E.2
MH423805|homo_sapiens|kenya|2016-06-01	E.2
MH423804|homo_sapiens|kenya|2016-06-01	E.2
MH423803|homo_sapiens|kenya|2016-05-31	E.2
MH423802|homo_sapiens|kenya|2016-05-31	E.2
MH423801|homo_sapiens|kenya|2016-05-31	E.2
MH423799|homo_sapiens|kenya|2016-05-31	E.2
MH423797|homo_sapiens|kenya|2016-05-07	E.2
MW588419|homo_sapiens|malaysia|2017-06-01	E.3
MW588418|homo_sapiens|malaysia|2017-06-13	E.3
OR412350|homo_sapiens|malaysia|2017-09-06	E.3
OR412349|homo_sapiens|malaysia|2017-07-21	E.3
LC664156|homo_sapiens|maldives|2019-08-02	E.4
LC664153|homo_sapiens|maldives|2019-05-01	E.4
LC664152|homo_sapiens|maldives|2019-05-19	E.4
LC664151|homo_sapiens|maldives|2019-04-14	E.4
LC664147|homo_sapiens|maldives|2019-04-07	E.4
LC664155|homo_sapiens|maldives|2019-06-18	E.4
LC664150|homo_sapiens|maldives|2019-04-10	E.4
LC664149|homo_sapiens|maldives|2019-04-01	E.4
LC664148|homo_sapiens|maldives|2019-04-04	E.4
LC664146|homo_sapiens|maldives|2019-04-03	E.4
LC664154|homo_sapiens|maldives|2019-05-01	E.4
LC664145|homo_sapiens|maldives|2019-04-01	E.4
LC664144|homo_sapiens|maldives|2019-04-24	E.4
LC664143|homo_sapiens|maldives|2019-03-30	E.4
LC664142|homo_sapiens|maldives|2019-03-31	E.4
LC664141|homo_sapiens|maldives|2019-03-30	E.4
MT526800|homo_sapiens|kenya|2017-12-13	E.5
MT526807|homo_sapiens|kenya|2016-01-26	E.5
MT526805|homo_sapiens|kenya|2017-07-19	E.5
MT526806|homo_sapiens|kenya|2017-04-03	E.5
MT526804|homo_sapiens|kenya|2017-12-05	E.5
MT526799|homo_sapiens|kenya|2018-01-03	E.5
MT526798|homo_sapiens|kenya|2018-01-12	E.5
MT526797|homo_sapiens|kenya|2018-05-15	E.5
MT526796|homo_sapiens|kenya|2018-01-15	E.5
MT380161|homo_sapiens|kenya|2017-12-01	E.5
MT380157|homo_sapiens|kenya|2018-05-01	E.5
MT380153|homo_sapiens|kenya|2018-01-01	E.5
MT380160|homo_sapiens|kenya|2018-04-01	E.5
MT380159|homo_sapiens|kenya|2018-05-01	E.5
MT380158|homo_sapiens|kenya|2018-05-01	E.5
MT380156|homo_sapiens|kenya|2018-04-01	E.5
MT380155|homo_sapiens|kenya|2018-04-01	E.5
MT380154|homo_sapiens|kenya|2018-04-01	E.5
MT380152|homo_sapiens|kenya|2018-01-01	E.5
MT380151|homo_sapiens|kenya|2018-01-01	E.5
MT380150|homo_sapiens|kenya|2018-01-01	E.5
MT380148|homo_sapiens|kenya|2018-01-01	E.5
MT380162|homo_sapiens|kenya|2018-04-01	E.5
MT380149|homo_sapiens|kenya|2018-01-01	E.5
MT380147|homo_sapiens|kenya|2018-02-01	E.5
MT380146|homo_sapiens|kenya|2018-02-01	E.5
MW161409|homo_sapiens|sudan|2018-10-01	E.5
MK163628|homo_sapiens|sudan|2018-10-01	E.5
MT023791|homo_sapiens|djibouti|2019-12-15	E.5
MW161460|homo_sapiens|sudan|2018-10-01	E.5
MW161459|homo_sapiens|sudan|2018-10-01	E.5
MW161458|homo_sapiens|sudan|2018-10-01	E.5
MW161457|homo_sapiens|sudan|2018-10-01	E.5
MW161456|homo_sapiens|sudan|2018-10-01	E.5
MW161455|homo_sapiens|sudan|2018-10-01	E.5
MW161454|homo_sapiens|sudan|2018-10-01	E.5
MW161453|homo_sapiens|sudan|2018-10-01	E.5
MW161452|homo_sapiens|sudan|2018-10-01	E.5
MW161451|homo_sapiens|sudan|2018-10-01	E.5
MW161450|homo_sapiens|sudan|2018-10-01	E.5
MW161449|homo_sapiens|sudan|2018-10-01	E.5
MW161448|homo_sapiens|sudan|2018-10-01	E.5
MW161447|homo_sapiens|sudan|2018-10-01	E.5
MW161446|homo_sapiens|sudan|2018-10-01	E.5
MW161445|homo_sapiens|sudan|2018-10-01	E.5
MW161444|homo_sapiens|sudan|2018-10-01	E.5
MW161443|homo_sapiens|sudan|2018-10-01	E.5
MW161441|homo_sapiens|sudan|2018-10-01	E.5
MW161440|homo_sapiens|sudan|2018-10-01	E.5
MW161439|homo_sapiens|sudan|2018-10-01	E.5
MW161433|homo_sapiens|sudan|2018-10-01	E.5
MW161430|homo_sapiens|sudan|2018-10-01	E.5
MW161428|homo_sapiens|sudan|2018-10-01	E.5
MW161427|homo_sapiens|sudan|2018-10-01	E.5
MW161425|homo_sapiens|sudan|2018-10-01	E.5
MW161422|homo_sapiens|sudan|2018-10-01	E.5
MW161421|homo_sapiens|sudan|2018-10-01	E.5
MW161420|homo_sapiens|sudan|2018-10-01	E.5
MW161419|homo_sapiens|sudan|2018-10-01	E.5
MW161417|homo_sapiens|sudan|2018-10-01	E.5
MW161416|homo_sapiens|sudan|2018-10-01	E.5
MW161415|homo_sapiens|sudan|2018-10-01	E.5
MW161414|homo_sapiens|sudan|2018-10-01	E.5
MW161413|homo_sapiens|sudan|2018-10-01	E.5
MW161412|homo_sapiens|sudan|2018-10-01	E.5
MW161408|homo_sapiens|sudan|2018-10-01	E.5
MW161405|homo_sapiens|sudan|2018-10-01	E.5
MW161404|homo_sapiens|sudan|2018-10-01	E.5
MW161438|homo_sapiens|sudan|2018-10-01	E.5
MW161437|homo_sapiens|sudan|2018-10-01	E.5
MW161436|homo_sapiens|sudan|2018-10-01	E.5
MW161435|homo_sapiens|sudan|2018-10-01	E.5
MW161402|homo_sapiens|sudan|2018-10-01	E.5
MW161401|homo_sapiens|sudan|2018-10-01	E.5
MW161400|homo_sapiens|sudan|2018-10-01	E.5
MW161399|homo_sapiens|sudan|2018-10-01	E.5
MW161398|homo_sapiens|sudan|2018-10-01	E.5
MW161397|homo_sapiens|sudan|2018-10-01	E.5
MW161396|homo_sapiens|sudan|2018-10-01	E.5
MW161395|homo_sapiens|sudan|2018-10-01	E.5
MW161392|homo_sapiens|sudan|2018-10-01	E.5
MW161387|homo_sapiens|sudan|2018-10-01	E.5
MW161386|homo_sapiens|sudan|2018-10-01	E.5
MW161384|homo_sapiens|sudan|2018-10-01	E.5
MW161382|homo_sapiens|sudan|2018-10-01	E.5
MW161381|homo_sapiens|sudan|2018-10-01	E.5
MW161380|homo_sapiens|sudan|2018-10-01	E.5
MW161378|homo_sapiens|sudan|2018-10-01	E.5
MW161377|homo_sapiens|sudan|2018-10-01	E.5
MW161376|homo_sapiens|sudan|2018-10-01	E.5
MW161442|homo_sapiens|sudan|2018-10-01	E.5
MW161434|homo_sapiens|sudan|2018-10-01	E.5
MW161432|homo_sapiens|sudan|2018-10-01	E.5
MW161423|homo_sapiens|sudan|2018-10-01	E.5
MW161394|homo_sapiens|sudan|2018-10-01	E.5
MW161391|homo_sapiens|sudan|2018-10-01	E.5
MW161390|homo_sapiens|sudan|2018-10-01	E.5
MW161389|homo_sapiens|sudan|2018-10-01	E.5
MW161375|homo_sapiens|sudan|2018-10-01	E.5
MW161429|homo_sapiens|sudan|2018-10-01	E.5
MW161373|homo_sapiens|sudan|2018-10-01	E.5
MW161431|homo_sapiens|sudan|2018-10-01	E.5
MW161372|homo_sapiens|sudan|2018-10-01	E.5
MW161371|homo_sapiens|sudan|2018-10-01	E.5
MW161370|homo_sapiens|sudan|2018-10-01	E.5
MW161369|homo_sapiens|sudan|2018-10-01	E.5
MW161411|homo_sapiens|sudan|2018-10-01	E.5
MW161368|homo_sapiens|sudan|2018-10-01	E.5
MW161410|homo_sapiens|sudan|2018-10-01	E.5
MW161407|homo_sapiens|sudan|2018-10-01	E.5
MW161403|homo_sapiens|sudan|2018-10-01	E.5
MW161383|homo_sapiens|sudan|2018-10-01	E.5
MW161366|homo_sapiens|sudan|2018-10-01	E.5
MW161418|homo_sapiens|sudan|2018-10-01	E.5
MW161406|homo_sapiens|sudan|2018-10-01	E.5
MW161385|homo_sapiens|sudan|2018-10-01	E.5
MW161388|homo_sapiens|sudan|2018-10-01	E.5
MW161367|homo_sapiens|sudan|2018-10-01	E.5
MW161365|homo_sapiens|sudan|2018-10-01	E.5
MW161364|homo_sapiens|sudan|2018-10-01	E.5
MT495605|homo_sapiens|thailand|2019-04-14	E.6
PV022126|homo_sapiens|china|2019-01-01	E.6
PV022114|homo_sapiens|china|2019-01-01	E.6
PV022117|homo_sapiens|china|2019-01-01	E.6
MN402891|homo_sapiens|china|2019-07-30	E.6
PV022124|homo_sapiens|china|2019-01-01	E.6
PV879499|homo_sapiens|china|2023-01-01	E.6
PV879489|homo_sapiens|china|2019-01-01	E.6
LC580266|homo_sapiens|thailand|2019-10-01	E.6
MT640255|homo_sapiens|thailand|2020-01-17	E.6
MT668625|homo_sapiens|china|2019-11-04	E.6
PV879498|homo_sapiens|china|2019-01-01	E.6
PV683454|homo_sapiens|myanmar|2019-01-01	E.6
MN756625|homo_sapiens|china|2019-08-08	E.6
MN974210|homo_sapiens|thailand|2019-08-26	E.6
MN974204|homo_sapiens|thailand|2019-08-15	E.6
PV022115|homo_sapiens|china|2019-01-01	E.6
MN402884|homo_sapiens|china|2019-06-28	E.6
MN402883|homo_sapiens|china|2019-05-07	E.6
MN402892|homo_sapiens|china|2019-08-02	E.6
PV022110|homo_sapiens|china|2019-01-01	E.6
PV879494|homo_sapiens|china|2019-01-01	E.6
PV879493|homo_sapiens|china|2019-01-01	E.6
PV879479|homo_sapiens|china|2019-01-01	E.6
LC580264|homo_sapiens|thailand|2019-10-01	E.6
MT495607|homo_sapiens|thailand|2019-08-28	E.6
MT495606|homo_sapiens|thailand|2019-08-12	E.6
PV879496|homo_sapiens|china|2019-01-01	E.6
LC664166|homo_sapiens|thailand|2020-09-25	E.6
LC664160|homo_sapiens|thailand|2020-08-19	E.6
OQ918703|homo_sapiens|south_korea|2022-12-28	E.6
PP599025|homo_sapiens|thailand|2023-05-11	E.6
PQ637692|homo_sapiens|thailand|2022-06-12	E.6
PQ637697|homo_sapiens|thailand|2022-11-30	E.6
PQ637700|homo_sapiens|thailand|2023-02-14	E.6
PQ637691|homo_sapiens|thailand|2022-05-11	E.6
PQ637702|homo_sapiens|thailand|2023-04-09	E.6
PQ637699|homo_sapiens|thailand|2023-01-12	E.6
PQ637710|homo_sapiens|thailand|2023-12-24	E.6
PQ637708|homo_sapiens|thailand|2023-10-18	E.6
PQ637707|homo_sapiens|thailand|2023-09-02	E.6
PQ637705|homo_sapiens|thailand|2023-07-28	E.6
PQ637709|homo_sapiens|thailand|2023-11-14	E.6
PQ637706|homo_sapiens|thailand|2023-08-11	E.6
PQ637704|homo_sapiens|thailand|2023-06-16	E.6
PQ637703|homo_sapiens|thailand|2023-05-10	E.6
PQ637701|homo_sapiens|thailand|2023-03-08	E.6
PQ637698|homo_sapiens|thailand|2022-12-15	E.6
PQ637696|homo_sapiens|thailand|2022-10-11	E.6
PQ637694|homo_sapiens|thailand|2022-08-17	E.6
PQ637693|homo_sapiens|thailand|2022-07-20	E.6
PQ637689|homo_sapiens|thailand|2022-03-31	E.6
PQ637695|homo_sapiens|thailand|2022-09-19	E.6
PQ637690|homo_sapiens|thailand|2022-04-26	E.6
PQ637688|homo_sapiens|thailand|2022-02-25	E.6
PQ637687|homo_sapiens|thailand|2022-01-04	E.6
PQ637686|homo_sapiens|thailand|2021-12-29	E.6
PQ637685|homo_sapiens|thailand|2021-12-20	E.6
PQ637680|homo_sapiens|thailand|2020-11-05	E.6
LC664165|homo_sapiens|thailand|2020-09-13	E.6
PQ637678|homo_sapiens|thailand|2020-09-08	E.6
PV066168|homo_sapiens|thailand|2019-12-18	E.6
PQ637676|homo_sapiens|thailand|2020-07-15	E.6
PV683455|homo_sapiens|myanmar|2019-01-01	E.6
MW291576|homo_sapiens|china|2019-10-04	E.6
PV022122|homo_sapiens|china|2020-01-01	E.6
PV022121|homo_sapiens|china|2020-01-01	E.6
PV879480|homo_sapiens|china|2019-01-01	E.6
LC664161|homo_sapiens|thailand|2020-08-20	E.6
LC664164|homo_sapiens|thailand|2020-09-08	E.6
PQ637675|homo_sapiens|thailand|2020-06-24	E.6
PV683453|homo_sapiens|myanmar|2019-01-01	E.6
PV683450|homo_sapiens|myanmar|2019-01-01	E.6
MW110474|homo_sapiens|china|2019-10-06	E.6
MW248363|homo_sapiens|china|2019-10-10	E.6
MN402886|homo_sapiens|china|2019-07-02	E.6
MW110477|homo_sapiens|china|2019-10-12	E.6
MW110476|homo_sapiens|china|2019-10-12	E.6
MW110475|homo_sapiens|china|2019-10-08	E.6
MW248364|homo_sapiens|china|2019-10-08	E.6
PP501554||china|2019-01-01	E.6
PP501552||china|2019-01-01	E.6
PV879497|homo_sapiens|china|2019-01-01	E.6
PV879485|homo_sapiens|china|2019-01-01	E.6
PV683457|homo_sapiens|myanmar|2019-01-01	E.6
PV683452|homo_sapiens|myanmar|2019-01-01	E.6
PV683451|homo_sapiens|myanmar|2019-01-01	E.6
PV683447|homo_sapiens|myanmar|2019-01-01	E.6
PV683446|homo_sapiens|myanmar|2019-01-01	E.6
MW110473|homo_sapiens|china|2019-10-06	E.6
MW110472|homo_sapiens|china|2019-09-28	E.6
MN402889|homo_sapiens|china|2019-07-25	E.6
MN402887|homo_sapiens|myanmar|2019-08-01	E.6
PV022118|homo_sapiens|china|2019-01-01	E.6
PV683456|homo_sapiens|myanmar|2019-01-01	E.6
OR037308|homo_sapiens|china|2019-01-01	E.6
PV683449|homo_sapiens|myanmar|2019-01-01	E.6
PV683444|homo_sapiens|myanmar|2019-01-01	E.6
PV664498|homo_sapiens|myanmar|2019-01-01	E.6
MN630017|homo_sapiens|australia|2019-01-01	E.6
LC580267|homo_sapiens|thailand|2019-10-01	E.6
LC580265|homo_sapiens|thailand|2019-10-01	E.6
LC580261|homo_sapiens|thailand|2019-10-01	E.6
LC580258|homo_sapiens|thailand|2019-10-01	E.6
LC580257|homo_sapiens|thailand|2019-10-01	E.6
LC580256|homo_sapiens|thailand|2019-10-01	E.6
MT640256|homo_sapiens|thailand|2020-02-05	E.6
LC664162|homo_sapiens|thailand|2020-08-26	E.6
PV066169|homo_sapiens|thailand|2019-12-10	E.6
LC664163|homo_sapiens|thailand|2020-08-28	E.6
PQ637673|homo_sapiens|thailand|2020-04-14	E.6
MN402885|homo_sapiens|china|2019-05-08	E.6
PV022127|homo_sapiens|china|2019-01-01	E.6
PV022125|homo_sapiens|china|2019-01-01	E.6
PV022116|homo_sapiens|china|2019-01-01	E.6
MN402890|homo_sapiens|china|2019-07-26	E.6
PV022112|homo_sapiens|china|2019-01-01	E.6
PV022111|homo_sapiens|china|2019-01-01	E.6
MN402888|homo_sapiens|myanmar|2019-08-01	E.6
